MAP WITH WALL
Current Day, Number of Monkes, Number of Bananas, Average Energy, Average Children, Average Dead Age
1, 11, 0, 94.181816, 0.18181819, 0.0
2, 11, 2, 88.63636, 0.18181819, 0.0
3, 11, 4, 87.63636, 0.18181819, 0.0
4, 12, 6, 82.416664, 0.33333334, 0.0
5, 14, 7, 74.35714, 0.5714286, 0.0
6, 15, 9, 63.933334, 0.6666667, 0.0
7, 16, 10, 61.25, 0.75, 0.0
8, 17, 12, 56.47059, 0.8235294, 0.0
9, 19, 13, 52.526318, 0.94736844, 0.0
10, 20, 14, 51.05, 1.1, 1.0
11, 22, 16, 46.5, 1.2727273, 1.0
12, 22, 17, 47.0, 1.3181819, 1.75
13, 24, 18, 43.5, 1.3333334, 2.6
14, 26, 19, 41.26923, 1.3461539, 3.142857
15, 28, 21, 36.82143, 1.4642857, 3.1111112
16, 31, 23, 32.129032, 1.5806452, 3.1666667
17, 36, 24, 28.222221, 1.75, 2.857143
18, 33, 23, 33.848484, 1.8787879, 2.909091
19, 29, 22, 42.482758, 2.3448277, 3.1290324
20, 28, 24, 46.0, 2.0357144, 3.7894738
21, 33, 25, 37.636364, 2.090909, 3.7179487
22, 35, 25, 36.914288, 1.7714286, 4.2093024
23, 37, 26, 34.054054, 1.972973, 3.9787233
24, 38, 26, 33.05263, 2.0, 3.9803922
25, 42, 26, 30.952381, 2.142857, 3.8888888
26, 48, 26, 28.104166, 2.2083333, 3.875
27, 55, 26, 25.272728, 2.1818182, 3.95
28, 61, 25, 23.90164, 2.081967, 4.169231
29, 68, 25, 21.941177, 2.1617646, 4.1285715
30, 64, 26, 22.75, 2.453125, 3.9186046
31, 64, 25, 23.625, 2.609375, 4.020408
32, 57, 22, 29.070175, 2.7368422, 4.1504426
33, 54, 21, 32.333332, 2.7777777, 4.1869917
34, 56, 21, 33.535713, 2.625, 4.3053436
35, 48, 20, 39.291668, 2.625, 4.517007
36, 46, 19, 41.891304, 2.673913, 4.483871
37, 52, 19, 38.26923, 2.6346154, 4.477707
38, 56, 19, 36.0, 2.4642856, 4.512346
39, 52, 16, 42.48077, 2.4038463, 4.5085716
40, 46, 16, 51.45652, 2.6304348, 4.4680853
41, 50, 15, 47.66, 2.44, 4.5
42, 54, 16, 42.98148, 2.5185184, 4.4467006
43, 56, 16, 42.017857, 2.392857, 4.62439
44, 62, 15, 38.451614, 2.1451614, 4.900474
45, 75, 16, 31.68, 2.1466668, 4.8867927
46, 86, 16, 26.697674, 2.0697675, 4.917051
47, 91, 15, 25.021978, 2.2197802, 4.8237886
48, 98, 12, 24.357143, 2.4285715, 4.684874
49, 105, 11, 23.323809, 2.447619, 4.6693225
50, 107, 11, 22.383177, 2.5140188, 4.630597
51, 114, 11, 20.517544, 2.5350878, 4.5759716
52, 119, 9, 20.067226, 2.5714285, 4.6153846
53, 120, 11, 18.933332, 2.6333334, 4.705329
54, 129, 12, 16.589148, 2.6821706, 4.6795254
55, 131, 11, 16.19084, 2.7633588, 4.6436462
56, 125, 11, 16.264, 2.936, 4.5586734
57, 120, 11, 16.258333, 3.1166666, 4.5465393
58, 116, 10, 17.25, 3.0172415, 4.644295
59, 124, 10, 15.032258, 2.887097, 4.6868253
60, 128, 10, 13.6796875, 2.765625, 4.7231407
61, 121, 12, 13.099174, 2.8429751, 4.6893206
62, 130, 10, 12.646153, 2.676923, 4.761278
63, 144, 10, 10.819445, 2.5763888, 4.7783885
64, 143, 10, 10.006993, 2.7202797, 4.737303
65, 127, 11, 10.456693, 2.7874017, 4.742998
66, 124, 6, 12.645162, 2.983871, 4.707741
67, 120, 6, 12.716666, 3.1833334, 4.679758
68, 130, 8, 10.246154, 3.2769232, 4.628319
69, 128, 8, 9.90625, 3.171875, 4.779037
70, 125, 5, 10.88, 2.888, 4.8602443
71, 136, 5, 9.507353, 2.8235295, 4.8905015
72, 146, 5, 8.19863, 2.9041095, 4.9100256
73, 133, 5, 8.330827, 3.1052632, 4.920343
74, 121, 3, 9.23967, 2.909091, 4.9964623
75, 112, 2, 10.080358, 3.142857, 4.9908886
76, 99, 4, 10.161616, 3.1111112, 5.12967
77, 106, 4, 9.415094, 3.009434, 5.12527
78, 97, 5, 9.103093, 3.2164948, 5.1005235
79, 84, 6, 9.452381, 3.3690476, 5.1230927
80, 84, 7, 8.821428, 3.3690476, 5.119358
81, 77, 8, 8.922078, 3.4025974, 5.1219273
82, 67, 6, 12.208955, 3.8955224, 5.080847
83, 64, 7, 12.375, 3.890625, 5.09981
84, 54, 8, 13.851851, 4.259259, 5.0999064
85, 51, 8, 15.09804, 4.4117646, 5.1034164
86, 53, 10, 13.113208, 4.1132073, 5.117539
87, 56, 11, 12.339286, 3.625, 5.157703
88, 54, 12, 12.833333, 3.0185184, 5.2531533
89, 48, 11, 15.833333, 3.25, 5.2324133
90, 46, 12, 15.695652, 3.3043478, 5.295837
91, 45, 12, 17.733334, 3.2666667, 5.3022027
92, 48, 10, 20.208334, 3.0625, 5.3128834
93, 48, 11, 19.3125, 3.1458333, 5.3016567
94, 50, 11, 19.36, 2.8, 5.333623
95, 48, 10, 21.854166, 2.9375, 5.323555
70, 13, 28, 1, 3
