FOLDED MAP
Current Day, Number of Monkes, Number of Bananas, Average Energy, Average Children, Average Dead Age
1, 11, 0, 94.181816, 0.18181819, 0.0
2, 12, 2, 82.916664, 0.33333334, 0.0
3, 13, 4, 74.76923, 0.46153846, 0.0
4, 14, 6, 67.85714, 0.5714286, 0.0
5, 16, 8, 60.375, 0.75, 0.0
6, 18, 10, 51.27778, 0.8888889, 0.0
7, 20, 12, 44.35, 1.0, 0.0
8, 22, 12, 43.409092, 1.0909091, 0.0
9, 26, 14, 37.384617, 1.2307693, 0.0
10, 29, 15, 33.03448, 1.3793104, 1.0
11, 32, 17, 27.90625, 1.5625, 2.0
12, 33, 17, 28.969696, 1.7272727, 3.4285715
13, 33, 18, 29.424242, 1.6969697, 3.6363637
14, 38, 18, 28.578947, 1.7368422, 3.6363637
15, 37, 18, 29.27027, 1.5945946, 4.6875
16, 36, 17, 32.416668, 1.8888888, 4.5
17, 37, 18, 31.108109, 2.0810812, 4.3846154
18, 35, 19, 34.62857, 2.142857, 4.714286
19, 33, 19, 37.636364, 2.2424242, 4.6976743
20, 39, 19, 32.820515, 2.1538463, 4.7727275
21, 46, 17, 30.73913, 1.9565217, 4.8913045
22, 55, 16, 27.018183, 1.9454546, 5.106383
23, 64, 15, 24.359375, 2.015625, 5.0
24, 73, 14, 21.958904, 2.0684931, 4.924528
25, 86, 14, 19.32558, 2.1162791, 4.767857
26, 88, 15, 17.818182, 2.3181818, 4.2941175
27, 84, 16, 17.464285, 2.607143, 4.105882
28, 92, 12, 18.304348, 2.6195652, 4.0439563
29, 85, 12, 19.211765, 2.6352942, 4.2363634
30, 82, 13, 19.09756, 2.5731707, 4.5
31, 91, 13, 16.89011, 2.4615386, 4.5625
32, 97, 12, 15.824742, 2.5154638, 4.540741
33, 94, 13, 16.074469, 2.6489363, 4.6842103
34, 105, 13, 14.028571, 2.5428572, 4.717949
35, 119, 11, 12.823529, 2.4789915, 4.8333335
36, 127, 12, 10.937008, 2.3937008, 4.9829545
37, 139, 12, 9.4388485, 2.4532373, 4.93617
38, 142, 10, 9.429578, 2.5915494, 4.798077
39, 138, 10, 9.333333, 2.8043478, 4.8510637
40, 120, 8, 11.166667, 3.1166666, 4.844765
41, 116, 8, 11.094828, 3.224138, 4.860927
42, 104, 8, 11.942307, 3.5192308, 4.8922157
43, 96, 8, 12.322917, 3.8020833, 4.857143
44, 92, 9, 12.097826, 3.4130435, 5.12766
45, 95, 10, 10.852632, 3.3473685, 5.1722364
46, 98, 12, 9.102041, 3.2755103, 5.3143563
47, 99, 13, 8.676767, 3.2323232, 5.4109263
48, 102, 11, 9.166667, 3.3921568, 5.318078
49, 83, 11, 10.903614, 3.746988, 5.338298
50, 79, 11, 11.417722, 4.037975, 5.2669406
51, 77, 11, 11.922078, 4.2727275, 5.2649403
52, 75, 9, 13.866667, 4.16, 5.316602
53, 67, 11, 13.940298, 4.2089553, 5.407063
54, 60, 11, 15.516666, 4.0833335, 5.4187727
55, 60, 12, 15.583333, 3.8833334, 5.533688
56, 59, 13, 15.966102, 4.016949, 5.4948096
57, 63, 14, 14.031746, 3.9047618, 5.5008516
58, 61, 13, 15.622951, 3.9016395, 5.5433335
59, 66, 13, 14.69697, 3.6363637, 5.605263
60, 76, 14, 12.0, 3.3157895, 5.6335506
61, 80, 14, 11.65, 3.175, 5.639423
62, 75, 14, 12.426666, 3.48, 5.614308
63, 79, 16, 10.481012, 3.620253, 5.567939
64, 75, 17, 10.533334, 3.9733334, 5.526706
65, 75, 18, 9.666667, 3.5066667, 5.5791
66, 68, 19, 9.955882, 3.6176472, 5.561354
67, 69, 18, 10.811594, 3.4202898, 5.59362
68, 69, 19, 9.927536, 3.5652175, 5.5642076
69, 73, 18, 10.383562, 3.671233, 5.52774
70, 73, 16, 11.465754, 3.8082192, 5.4979973
71, 72, 14, 13.611111, 3.4305556, 5.577225
72, 59, 16, 14.762712, 3.8474576, 5.5648856
73, 58, 17, 14.620689, 3.9655173, 5.562108
74, 59, 18, 13.610169, 4.101695, 5.5354037
75, 58, 19, 13.310345, 3.810345, 5.573186
76, 63, 19, 12.888889, 3.7460318, 5.5569158
77, 62, 20, 12.741936, 3.7580645, 5.553269
78, 61, 20, 13.639344, 4.0, 5.5651135
79, 58, 21, 14.0172415, 4.2586207, 5.5558167
80, 67, 19, 13.656716, 3.8208954, 5.5983605
81, 72, 20, 12.375, 3.2638888, 5.6415315
82, 83, 21, 10.409638, 3.180723, 5.640553
83, 79, 20, 11.13924, 3.5189874, 5.6004515
84, 78, 18, 12.371795, 3.7051282, 5.579356
85, 73, 18, 13.0, 3.6849315, 5.608506
86, 75, 17, 13.32, 3.68, 5.5907125
87, 80, 17, 12.9125, 3.525, 5.589936
88, 84, 17, 12.416667, 3.5357144, 5.5907173
89, 84, 17, 12.011905, 3.6785715, 5.567427
90, 84, 15, 12.940476, 3.6547618, 5.584098
91, 85, 15, 13.011765, 3.8235295, 5.561245
92, 74, 15, 14.5, 4.0675673, 5.564706
93, 77, 14, 15.376623, 3.4155843, 5.6373305
94, 84, 14, 13.928572, 3.3333333, 5.621285
95, 83, 12, 14.939759, 3.4819276, 5.602455
69, 14, 19, 2, 4
