MAP WITH WALL
Current Day, Number of Monkes, Number of Bananas, Average Energy, Average Children, Average Dead Age
1, 11, 0, 94.181816, 0.18181819, 0.0
2, 12, 2, 83.583336, 0.33333334, 0.0
3, 13, 4, 75.0, 0.46153846, 0.0
4, 14, 5, 71.42857, 0.5714286, 0.0
5, 15, 7, 65.13333, 0.6666667, 0.0
6, 16, 9, 59.75, 0.75, 0.0
7, 17, 11, 55.0, 0.8235294, 0.0
8, 18, 12, 53.61111, 0.8888889, 0.0
9, 20, 14, 48.45, 1.0, 0.0
10, 23, 16, 40.739132, 1.1304348, 0.0
11, 25, 17, 37.88, 1.28, 1.0
12, 27, 18, 35.37037, 1.4074074, 1.0
13, 29, 19, 33.827587, 1.5172414, 1.3333334
14, 28, 20, 37.0, 1.7142857, 3.25
15, 27, 21, 36.77778, 2.0, 3.1666667
16, 24, 23, 40.041668, 1.6666666, 4.882353
17, 23, 25, 40.52174, 1.826087, 4.55
18, 21, 27, 43.04762, 1.9523809, 5.2608695
19, 21, 28, 44.47619, 2.047619, 5.0833335
20, 22, 28, 47.090908, 1.9545455, 5.16
21, 19, 29, 55.42105, 2.1578948, 5.1
22, 17, 31, 59.941177, 2.1764705, 5.090909
23, 18, 31, 60.72222, 2.1666667, 5.090909
24, 18, 32, 62.0, 2.1666667, 5.617647
25, 19, 32, 62.789474, 2.1578948, 5.617647
19, 18, 53, 0, 2
