FOLDED MAP
Current Day, Number of Monkes, Number of Bananas, Average Energy, Average Children, Average Dead Age
1, 10, 0, 100.0, 0.0, 0.0
2, 10, 2, 99.0, 0.0, 0.0
3, 11, 4, 92.36364, 0.18181819, 0.0
4, 12, 5, 87.666664, 0.33333334, 0.0
5, 13, 7, 77.0, 0.46153846, 0.0
6, 13, 9, 73.76923, 0.46153846, 0.0
7, 13, 10, 76.61539, 0.46153846, 0.0
8, 13, 9, 87.15385, 0.46153846, 0.0
9, 13, 11, 86.15385, 0.46153846, 0.0
10, 13, 12, 89.0, 0.46153846, 0.0
11, 13, 14, 88.0, 0.46153846, 0.0
12, 13, 16, 87.0, 0.46153846, 0.0
13, 13, 17, 89.84615, 0.46153846, 0.0
14, 13, 17, 96.53846, 0.46153846, 0.0
15, 14, 19, 90.07143, 0.5714286, 0.0
16, 15, 21, 82.333336, 0.6666667, 0.0
17, 16, 22, 78.8125, 0.75, 0.0
18, 19, 20, 78.89474, 0.94736844, 0.0
19, 22, 19, 72.045456, 1.0909091, 0.0
20, 26, 20, 61.846153, 1.2307693, 0.0
21, 30, 19, 56.733334, 1.3333334, 0.0
22, 33, 20, 51.333332, 1.4545455, 1.0
23, 34, 22, 48.382355, 1.6470588, 2.25
24, 35, 20, 51.714287, 1.6571429, 3.2857144
25, 39, 20, 47.666668, 1.6923077, 3.2857144
18, 14, 77, 0, 0
